MOTIVO_CURADORIA;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;TIPO_INFERIDO_PELO_NOME;RESULTADO_CURADORIA;IMPACTO_NO_RECORTE;ACAO_RECOMENDADA;ANO_INICIAL;ANO_FINAL;QT_ANOS;STATUS_VERIFICACAO_FONTE
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";3998;INSTITUTO INFNET RIO DE JANEIRO;1322074;ENGENHARIA DE SOFTWARE;EaD;Bacharelado;0614C01;Ciência da computação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2018;2019;2;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";3998;INSTITUTO INFNET RIO DE JANEIRO;1322074;ENGENHARIA DE SOFTWARE;EaD;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2020;2020;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";3998;INSTITUTO INFNET RIO DE JANEIRO;1322074;Engenharia De Software;EaD;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2021;2023;3;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";3998;INSTITUTO INFNET RIO DE JANEIRO;1322074;Engenharia De Software;EaD;Bacharelado;0613C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE SOFTWARE;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2024;2024;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";2132;CENTRO UNIVERSITÁRIO UNINORTE;1457818;Análise E Desenvolvimento De Sistemas Internet;EaD;Bacharelado;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;ADS;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2022;2022;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";19865;Faculdade Una de Pouso Alegre;1585464;Engenharia De Computação;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE COMPUTACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2023;2023;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";386;CENTRO UNIVERSITÁRIO DE GOIÁS;1597254;Engenharia De Computação;EaD;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE COMPUTACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2022;2022;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";2625;CENTRO UNIVERSITÁRIO UFBRA;1616602;Engenharia De Computação;EaD;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;ENGENHARIA DE COMPUTACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2023;2023;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";1846;CENTRO UNIVERSITARIO DE LINS;18733;SISTEMAS DE INFORMACAO;Presencial;Bacharelado;0613E01;Engenharia de software;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";1846;CENTRO UNIVERSITÁRIO DE LINS;18733;SISTEMAS DE INFORMAÇÃO;Presencial;Bacharelado;0613E01;Engenharia de software;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2010;2016;7;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";570;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;40165;CIENCIA DA COMPUTACAO NATAL SISTEMAS DE INFORMACAO;Presencial;Bacharelado;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";588;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;45313;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA MODALIDADE SISTEMAS DE INFORMACAO AREA PROFISSIONAL INFORMATICA;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";588;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;45480;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA MODALIDADE SISTEMAS DE INFORMACAO;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";588;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;45578;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA MODALIDADE SISTEMAS DE INFORMACAO AREA PROFISSIONAL INFORMATICA;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";588;UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA;45668;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA MODALIDADE SISTEMAS DE INFORMACAO AREA PROFISSIONAL INFORMATICA;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";1811;INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS;48267;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA COM HABILITACAO EM SISTEMAS DE INFORMACAOAREA PROFISSIONAL INFORMATICA;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";1385;FACULDADES INTEGRADAS IPEP;58366;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS INTERNET;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE;CINE área geral 6 Computação/TIC;ADS;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2010;2016;7;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";1385;FACULDADES INTEGRADAS IPEP;58366;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;Tecnológico;0615S03;Sistemas para internet;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;ADS;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2018;2018;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";1583;FACULDADE DE TECNOLOGIA DE INDAIATUBA;89748;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA COM ENFASE EM BANCO DE DADOS E REDES DE COMPUTADORES;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;BANCO DE DADOS;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";3684;FUNDACAO DE ENSINO SUPERIOR DE CLEVELANDIA;91868;CURSO SUPERIOR DE TECNOLOGIA EM INFORMATICA SISTEMAS DE INFORMACAO;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS DE INFORMACAO;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";22015;Faculdade Municipal de Educação e Meio Ambiente;91868;Análise E Desenvolvimento De Sistemas;Presencial;Tecnológico;0614C01;Ciência da computação;CINE;CINE área geral 6 Computação/TIC;ADS;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2022;2022;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";3456;FACULDADE POLITECNICA DE CAMPINAS;95799;CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SISTEMAS PARA INTERNET AREA PROFISSIONAL INFORMATICA;Presencial;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS PARA INTERNET;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2009;2009;1;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";3456;FACULDADE POLITÉCNICA DE CAMPINAS;95799;DESENVOLVIMENTO DE SISTEMAS PARA A INTERNET;Presencial;Tecnológico;0615S02;Sistemas de informação;CINE;CINE área geral 6 Computação/TIC;SISTEMAS PARA INTERNET;compativel com nome historico ou nome composto;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2010;2013;4;"pendente; triagem automatica nao confirma preenchimento da IES"
"divergencia aparente entre nome e rotulo; conferir a fonte e manter os valores declarados";416;FACULDADE DE SÃO PAULO;9586;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;Tecnológico;0614C01;Ciência da computação;CINE Brasil;CINE Brasil área geral 6 Computação/TIC;ADS;rotulo da fonte diverge do nome, mas ambos pertencem ao escopo;nenhum;"manter; usar NO_CURSO como nome e NO_ROTULO_AREA como classificacao declarada";2018;2019;2;"pendente; triagem automatica nao confirma preenchimento da IES"
