MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;DS_TP_MODALIDADE_ENSINO;DS_TP_GRAU_ACADEMICO;CO_ROTULO_AREA;NO_ROTULO_AREA;DS_CLASSIFICACAO_AREA;DS_CRITERIO_ESCOPO;TIPO_INFERIDO_PELO_NOME;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1043;CENTRO UNIVERSITÁRIO HERMINIO OMETTO;115336;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1046;UNIÃO DAS FACULDADES DOS GRANDES LAGOS;1184439;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1049;INSTITUTO DE ENSINO SUPERIOR FUCAPI;110564;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1049;INSTITUTO DE ENSINO SUPERIOR FUCAPI;1261039;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE SOFTWARE;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;49970;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1120;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE;1349106;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1129;CENTRO UNIVERSITÁRIO DO NORTE PAULISTA;81137;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1161;INSPER INSTITUTO DE ENSINO E PESQUISA;1257963;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1166;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA;1342196;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1196;CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR;1261782;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE SOFTWARE;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1196;CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR;1314138;ENGENHARIA DE SOFTWARE;EaD;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE SOFTWARE;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1051;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1230;CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL;65759;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;124;UNIVERSIDADE DE ARARAQUARA;49743;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1244;FACULDADE BRASILEIRA;1100941;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;126;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;72437;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1270;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;46839;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1294;FACULDADE DAS AMÉRICAS;1204397;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;13;UNIVERSIDADE DE CAXIAS DO SUL;1264482;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1318;FACULDADE UNINASSAU VITÓRIA DA CONQUISTA;1280482;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1351;CENTRO UNIVERSITÁRIO SOCIESC;83838;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1365;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;1285157;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;137;UNIVERSIDADE DO SAGRADO CORAÇÃO;1125254;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1386;FACULDADE ESAMC CAMPINAS;5000217;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;64822;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;140;UNIVERSIDADE SEVERINO SOMBRA;1170082;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1409;FACULDADE DO CENTRO LESTE;1321884;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1410;ÁREA1 - FACULDADE DE CIÊNCIA E TECNOLOGIA;55173;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1412;FACULDADE ANHANGUERA DE JUNDIAÍ;49107;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1422;CENTRO UNIVERSITÁRIO DO NORTE;1264733;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;1259017;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;143;UNIVERSIDADE DE UBERABA;20362;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;143;UNIVERSIDADE DE UBERABA;76074;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1438;FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS;1204300;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1445;CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA;1203325;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;146;CENTRO UNIVERSITÁRIO DE RIO PRETO;20302;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;1314229;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;1315345;ENGENHARIA DE COMPUTAÇÃO;EaD;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1492;FACULDADE PITÁGORAS DE UBERLÂNDIA;1284127;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1493;CENTRO UNIVERSITÁRIO ALVES FARIA;98744;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;14951;FACULDADE DE ENGENHARIA E INOVAÇÃO TÉCNICO PROFISSI;1261627;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;103226;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;150;UNIVERSIDADE DE SOROCABA;1109355;ENGENHARIA DA COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1500;FACULDADE DE ENSINO SUPERIOR DE SÃO MIGUEL DO IGUAÇU;1204225;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE SOFTWARE;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1508;FACULDADE METROPOLITANA DE MARINGÁ;1280105;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE SOFTWARE;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1519;FACULDADE DE PATO BRANCO;1323887;ENGENHARIA DE SOFTWARE;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE SOFTWARE;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
"cursos incluidos pelo codigo OCDE 523E04; nomes divergentes permanecem como declarados na fonte";2017;1521;FACULDADE ESTÁCIO DE BELÉM - ESTÁCIO BELÉM;50465;ENGENHARIA DE COMPUTAÇÃO;Presencial;Bacharelado;523E04;Engenharia de computação;OCDE;OCDE proxy 5.23E+06 Engenharia/Computação;ENGENHARIA DE COMPUTACAO;manter: 523E04 e o rotulo OCDE oficial de Engenharia de Computacao;"pendente; triagem automatica nao confirma preenchimento da IES"
