MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;MUNICIPIOS;MUNICIPIOS_SEM_MATRICULA;MAT_TOTAL_MUNICIPAL;MAT_MAIOR_MUNICIPIO;FRAC_MUNICIPIOS_ZERADOS;FRAC_NO_MAIOR_MUNICIPIO;PADRAO_ATIPICO;PRIORIDADE_SE_PUBLICAR_MAPA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;1576245;Jogos Digitais;66;40;38.0;5.0;0.606;0.132;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1537691;Desenvolvimento Back-End;63;55;10.0;2.0;0.873;0.2;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;1576591;Desenvolvimento Mobile;59;38;34.0;11.0;0.644;0.324;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1537693;Devops;58;45;18.0;3.0;0.776;0.167;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1548209;Inteligência De Mercado E Análise De Dados;57;54;5.0;2.0;0.947;0.4;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;1576464;Computação Em Nuvem;48;29;29.0;5.0;0.604;0.172;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;1576249;Sistemas Para Internet;48;30;24.0;4.0;0.625;0.167;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1548027;Arquitetura De Dados;45;43;2.0;1.0;0.956;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1846;CENTRO UNIVERSITÁRIO DE LINS;1533355;Ciência Da Computação;45;28;19.0;2.0;0.622;0.105;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;671;UNIVERSIDADE ANHANGUERA;1548262;Computação Em Nuvem;43;42;1.0;1.0;0.977;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1576140;Engenharia De Software;40;30;79.0;23.0;0.75;0.291;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;1576591;Desenvolvimento Mobile;39;24;24.0;5.0;0.615;0.208;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;1576418;Desenvolvimento Mobile;38;25;15.0;3.0;0.658;0.2;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1548245;Redes De Computadores;38;30;30.0;9.0;0.789;0.3;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;374;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;1483597;Jogos Digitais;37;24;50.0;38.0;0.649;0.76;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1660;CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;1599522;Desenvolvimento Full Stack;36;24;19.0;5.0;0.667;0.263;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1576140;Engenharia De Software;35;25;110.0;39.0;0.714;0.355;muitos municipios zerados;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;1576287;Jogos Digitais;34;22;12.0;1.0;0.647;0.083;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2016;671;UNIVERSIDADE ANHANGUERA - UNIDERP;1318199;ENGENHARIA DE COMPUTAÇÃO;34;25;40.0;10.0;0.735;0.25;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1550008;Cibersegurança;31;23;17.0;6.0;0.742;0.353;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2015;1205;FACULDADE EDUCACIONAL DA LAPA;1166010;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;30;27;10.0;5.0;0.9;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1576158;Gestão Da Tecnologia Da Informação;29;22;30.0;11.0;0.759;0.367;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;17854;Centro Universitário Unifecaf;1454503;Análise E Desenvolvimento De Sistemas;28;27;1508.0;1508.0;0.964;1.0;muitos municipios zerados e concentracao;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;1576416;Computação Em Nuvem;27;19;9.0;2.0;0.704;0.222;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1303431;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;27;12;454.0;411.0;0.444;0.905;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1548245;Redes De Computadores;27;20;29.0;12.0;0.741;0.414;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;1576413;Arquitetura De Dados;26;16;10.0;1.0;0.615;0.1;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;385;UNIVERSIDADE SALVADOR;1485013;Engenharia De Computação;25;15;37.0;22.0;0.6;0.595;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1548203;Ciência De Dados;25;18;13.0;5.0;0.72;0.385;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1550008;Cibersegurança;25;20;16.0;7.0;0.8;0.438;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1548203;Ciência De Dados;24;18;10.0;3.0;0.75;0.3;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1576158;Gestão Da Tecnologia Da Informação;24;19;29.0;8.0;0.792;0.276;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1537694;Desenvolvimento Para Web;23;19;6.0;3.0;0.826;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1303431;Análise E Desenvolvimento De Sistemas;20;5;594.0;553.0;0.25;0.931;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;17854;Centro Universitário Unifecaf;1502343;Gestão Da Tecnologia Da Informação;20;19;585.0;585.0;0.95;1.0;muitos municipios zerados e concentracao;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1303431;Análise E Desenvolvimento De Sistemas;20;7;804.0;747.0;0.35;0.929;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;15450;Centro Universitário Única;1473018;Sistemas Para Internet;19;12;16.0;10.0;0.632;0.625;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;242;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;1606854;Jogos Digitais;18;11;7.0;1.0;0.611;0.143;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1537693;Devops;18;13;7.0;2.0;0.722;0.286;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;712;CENTRO UNIVERSITÁRIO IBMR;1442970;Análise E Desenvolvimento De Sistemas;18;9;270.0;255.0;0.5;0.944;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;2950;Centro Universitário FADERGS;1457870;Ciência Da Computação;18;14;40.0;35.0;0.778;0.875;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2015;1205;FACULDADE EDUCACIONAL DA LAPA;1260026;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;17;14;11.0;8.0;0.824;0.727;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;449;UNIVERSIDADE LUTERANA DO BRASIL;1205028;Sistemas Para Internet;17;16;1.0;1.0;0.941;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1537691;Desenvolvimento Back-End;17;15;4.0;3.0;0.882;0.75;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;15450;Faculdade Única de Ipatinga;1473018;Sistemas Para Internet;17;12;17.0;13.0;0.706;0.765;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1537675;Desenvolvimento Mobile;16;11;6.0;2.0;0.688;0.333;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;17854;Centro Universitário Unifecaf;1527833;Defesa Cibernética;16;11;26.0;22.0;0.688;0.846;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;2497;CENTRO UNIVERSITÁRIO ATENEU;1473201;Análise E Desenvolvimento De Sistemas;16;5;260.0;242.0;0.312;0.931;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;5370;Centro Universitário Doctum de Teófilo Otoni;1525885;Análise E Desenvolvimento De Sistemas;16;15;1.0;1.0;0.938;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1303431;Análise E Desenvolvimento De Sistemas;15;3;1114.0;1050.0;0.2;0.943;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1537694;Desenvolvimento Web;15;13;4.0;3.0;0.867;0.75;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;5370;Centro Universitário Doctum de Teófilo Otoni;1575203;Gestão Da Tecnologia Da Informação;15;9;8.0;3.0;0.6;0.375;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;1550657;Análise E Desenvolvimento De Sistemas;15;0;1127.0;1052.0;0.0;0.933;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;165;UNIVERSIDADE VEIGA DE ALMEIDA;1431648;Análise E Desenvolvimento De Sistemas;15;3;1233.0;1116.0;0.2;0.905;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1892;Centro Universitário de Excelência Eniac;1308555;Análise E Desenvolvimento De Sistemas;15;1;596.0;570.0;0.067;0.956;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;167;UNIVERSIDADE METODISTA DE SÃO PAULO;1323047;Jogos Digitais;15;9;14.0;8.0;0.6;0.571;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;298;Universidade Pitágoras Unopar Anhanguera;1322923;Engenharia De Computação;14;9;8.0;2.0;0.643;0.25;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;1042;UNIVERSIDADE POSITIVO;1551147;Jogos Digitais;14;10;11.0;8.0;0.714;0.727;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
